2014.06.06,12:00,1.68073,1.68202,1.68023,1.68042,1882
2014.06.06,13:00,1.68042,1.68146,1.68041,1.68116,1750
2014.06.06,14:00,1.68117,1.68284,1.68096,1.68223,2004
2014.06.06,15:00,1.68223,1.68443,1.68152,1.68234,4476
2014.06.06,16:00,1.68235,1.68261,1.67863,1.67909,4066
2014.06.06,17:00,1.67909,1.67992,1.67803,1.67891,2695
2014.06.06,18:00,1.67891,1.67973,1.67813,1.67925,2243
2014.06.06,19:00,1.67924,1.68034,1.67906,1.68034,1023
2014.06.06,20:00,1.68035,1.68035,1.67962,1.67996,932
2014.06.06,21:00,1.68000,1.68120,1.67993,1.68104,807
2014.06.06,22:00,1.68101,1.68103,1.68011,1.68041,852
2014.06.06,23:00,1.68040,1.68096,1.67963,1.68011,786
2014.06.09,00:00,1.68052,1.68107,1.67954,1.68073,264
2014.06.09,01:00,1.68073,1.68097,1.68033,1.68038,779
2014.06.09,02:00,1.68038,1.68093,1.68036,1.68062,380
2014.06.09,03:00,1.68058,1.68085,1.68041,1.68049,657
2014.06.09,04:00,1.68049,1.68077,1.68020,1.68026,659
2014.06.09,05:00,1.68028,1.68069,1.68025,1.68049,502
2014.06.09,06:00,1.68048,1.68087,1.68046,1.68073,486
2014.06.09,07:00,1.68073,1.68087,1.68060,1.68072,529
2014.06.09,08:00,1.68074,1.68084,1.68060,1.68083,428
2014.06.09,09:00,1.68082,1.68317,1.68075,1.68305,1593
2014.06.09,10:00,1.68304,1.68304,1.68144,1.68165,1740
2014.06.09,11:00,1.68165,1.68208,1.68087,1.68104,1781
2014.06.09,12:00,1.68105,1.68144,1.68033,1.68033,1731
2014.06.09,13:00,1.68031,1.68105,1.67999,1.68089,1574
2014.06.09,14:00,1.68090,1.68120,1.67950,1.68065,1839
2014.06.09,15:00,1.68065,1.68074,1.67970,1.68024,1936
2014.06.09,16:00,1.68023,1.68032,1.67844,1.67870,2898
2014.06.09,17:00,1.67868,1.67931,1.67832,1.67927,2871
2014.06.09,18:00,1.67925,1.67988,1.67845,1.67958,2459
2014.06.09,19:00,1.67958,1.68005,1.67912,1.67919,1683
2014.06.09,20:00,1.67922,1.67977,1.67911,1.67918,1068
2014.06.09,21:00,1.67919,1.67944,1.67918,1.67928,959
2014.06.09,22:00,1.67927,1.67951,1.67920,1.67950,786
2014.06.09,23:00,1.67957,1.68025,1.67945,1.68022,974
2014.06.10,00:00,1.68011,1.68026,1.67958,1.68014,566
2014.06.10,01:00,1.68014,1.68031,1.68001,1.68019,267
2014.06.10,02:00,1.68018,1.68024,1.67996,1.68014,727
2014.06.10,03:00,1.68013,1.68047,1.68011,1.68030,720
2014.06.10,04:00,1.68029,1.68130,1.68021,1.68126,1201
2014.06.10,05:00,1.68127,1.68137,1.68079,1.68081,710
2014.06.10,06:00,1.68081,1.68100,1.68050,1.68083,985
2014.06.10,07:00,1.68084,1.68101,1.68052,1.68053,761
2014.06.10,08:00,1.68052,1.68094,1.68032,1.68038,1073
2014.06.10,09:00,1.68036,1.68169,1.68030,1.68092,1800
2014.06.10,10:00,1.68092,1.68102,1.67972,1.68008,2136
2014.06.10,11:00,1.68011,1.68103,1.67800,1.68053,4292
2014.06.10,12:00,1.68055,1.68061,1.67881,1.67897,2820
2014.06.10,13:00,1.67893,1.67893,1.67651,1.67792,3238
2014.06.10,14:00,1.67790,1.67834,1.67699,1.67761,2412
2014.06.10,15:00,1.67770,1.67799,1.67627,1.67630,3147
2014.06.10,16:00,1.67631,1.67707,1.67572,1.67676,2910
2014.06.10,17:00,1.67674,1.67723,1.67509,1.67598,3224
2014.06.10,18:00,1.67598,1.67633,1.67475,1.67521,2583
2014.06.10,19:00,1.67520,1.67589,1.67492,1.67546,1543
2014.06.10,20:00,1.67546,1.67550,1.67421,1.67434,1550
2014.06.10,21:00,1.67434,1.67556,1.67434,1.67536,1220
2014.06.10,22:00,1.67535,1.67577,1.67524,1.67527,993
2014.06.10,23:00,1.67526,1.67574,1.67506,1.67548,896
2014.06.11,00:00,1.67548,1.67555,1.67524,1.67535,263
2014.06.11,01:00,1.67535,1.67548,1.67518,1.67524,619
2014.06.11,02:00,1.67523,1.67542,1.67468,1.67468,714
2014.06.11,03:00,1.67469,1.67502,1.67375,1.67486,1028
2014.06.11,04:00,1.67485,1.67509,1.67455,1.67455,741
2014.06.11,05:00,1.67454,1.67482,1.67391,1.67430,774
2014.06.11,06:00,1.67427,1.67561,1.67427,1.67550,841
2014.06.11,07:00,1.67551,1.67565,1.67528,1.67528,770
2014.06.11,08:00,1.67528,1.67545,1.67481,1.67534,1141
2014.06.11,09:00,1.67533,1.67642,1.67512,1.67598,1610
2014.06.11,10:00,1.67599,1.67701,1.67546,1.67569,2217
2014.06.11,11:00,1.67568,1.67907,1.67489,1.67868,3310
2014.06.11,12:00,1.67866,1.67968,1.67843,1.67846,2716
2014.06.11,13:00,1.67850,1.67886,1.67767,1.67803,2100
2014.06.11,14:00,1.67804,1.67865,1.67706,1.67825,2694
2014.06.11,15:00,1.67827,1.67919,1.67809,1.67884,2098
2014.06.11,16:00,1.67885,1.67903,1.67773,1.67809,2408
2014.06.11,17:00,1.67811,1.67887,1.67766,1.67869,2608
2014.06.11,18:00,1.67871,1.67941,1.67843,1.67933,2204
2014.06.11,19:00,1.67932,1.68100,1.67928,1.68014,1938
2014.06.11,20:00,1.68013,1.68046,1.67950,1.67960,1203
2014.06.11,21:00,1.67962,1.67985,1.67920,1.67920,905
2014.06.11,22:00,1.67921,1.67931,1.67861,1.67876,913
2014.06.11,23:00,1.67875,1.67903,1.67860,1.67861,892
2014.06.12,00:00,1.67864,1.67905,1.67854,1.67892,646
2014.06.12,01:00,1.67892,1.67902,1.67863,1.67885,510
2014.06.12,02:00,1.67888,1.67899,1.67874,1.67888,563
2014.06.12,03:00,1.67893,1.67956,1.67893,1.67949,655
2014.06.12,04:00,1.67950,1.67954,1.67907,1.67951,968
2014.06.12,05:00,1.67950,1.67991,1.67922,1.67979,694
2014.06.12,06:00,1.67978,1.68000,1.67940,1.67966,706
2014.06.12,07:00,1.67965,1.67989,1.67954,1.67984,519
2014.06.12,08:00,1.67982,1.68020,1.67946,1.67991,815
2014.06.12,09:00,1.67992,1.68235,1.67966,1.68155,1783
